Resturant Name,Rating,Address,Review Count,Category
The Waterfront Restaurant & Tavern,4.5 star rating,328 Front St S,226,American (New);Seafood;Steakhouses
Buzzard Billy’s,4 star rating,222 Pearl St,276,American (Traditional);Cajun/Creole
Restore Public House,4.5 star rating,1810 State St,17,American (Traditional)
Lovechild Restaurant,4.5 star rating,300 3rd St S,109,American (New)
The Charmant,4.5 star rating,101 State St,149,French;Cocktail Bars
The Freighthouse Restaurant,4 star rating,107 Vine St,125,Seafood;Steakhouses;Desserts
Howie’s on La Crosse,4 star rating,1128 La Crosse St,57,American (New);Pubs
Piggy’s Restaurant,4 star rating,501 Front St S,131,Steakhouses;Seafood;Sandwiches
The Crow,3.5 star rating,100 3rd St S,154,American (Traditional);Gastropubs
Digger’s Sting Restaurant,4 star rating,122 3rd St N,62,American (New);Steakhouses
4 Sisters Wine Bar and Tapas,3.5 star rating,100 Harborview Plz,111,Wine Bars;Tapas/Small Plates;Tapas Bars
Schuby’s Neighborhood Butcher,4.5 star rating,321 State St,17,Butcher;Delis;Caterers
Milwaukee Burger Company,3.5 star rating,3039 Medco Ct,23,Burgers;Sports Bars;Beer Bar
Uno Venti Pizzeria,4 star rating,120 King St,17,Pizza;Italian;Beer Bar
River Rats Bar and Grill,4.5 star rating,1311 La Crescent Pl,28,American (New);Burgers;Cocktail Bars
Señor Villa,4 star rating,325 West Ave N,69,Mexican
Five Star Eggrolls,3.5 star rating,1203 La Crosse St,9,Thai;Laotian;Chinese
Hmong’s Golden Egg Roll,4 star rating,901 State St,69,Laotian;Vietnamese;Thai
Burritos House,4.5 star rating,1205 La Crosse St,30,Mexican
Le Chateau,4.5 star rating,410 Cass St,51,French;Wine Bars;Cocktail Bars
Iguana’s Mexican Street Café,4 star rating,1800 State St,71,Mexican
Huck Finn’s On the Water,3.5 star rating,129 Marina Dr,53,American (Traditional);Music Venues;Chicken Wings
Hungry Peddler,4 star rating,3429 Mormon Coulee Rd,64,American (Traditional);Steakhouses;Seafood
Red Pines Bar & Grill,4.5 star rating,W7305 County Rd Z,88,American (Traditional);Seafood
Ciatti’s Italian Grill,4.5 star rating,2846 Midwest Dr,51,Seafood;Steakhouses;Italian
Recovery Room,3.5 star rating,901 7th St S,14,Sports Bars;American (Traditional)
Rudy’s Drive-In,4 star rating,1004 La Crosse St,44,American (New)
Pickerman’s Soup & Sandwiches,4.5 star rating,327 Jay St,57,Sandwiches;Soup
Big Mama’s Gyros,5 star rating,Dave's Guitar Shop Parking Lot,9,Greek;Street Vendors
Greengrass Cafe,4 star rating,1904 Campbell Rd,96,Breakfast & Brunch;Bars
The Root Note,4.5 star rating,115 4th St S,80,Music Venues;Coffee & Tea;Creperies
Schmidty’s Bar & Restaurant,4 star rating,3119 State Rd,19,American (Traditional)
Big Al’s Pizza,3.5 star rating,115 3rd St,70,Pizza
New Taste of India,4 star rating,1812 Jackson St,110,Indian
David Reay’s Modern Diner + Tavern,3.5 star rating,214 Main St,96,Diners;Bars
Il Luigi Italian Cuisine,4.5 star rating,235 Sand Lake Rd,3,Italian;Wine Bars
Pogreba Restaurant,4 star rating,1232 Avon St,48,American (Traditional);Seafood;Steakhouses
Timmers 10 Mile Pub,4.5 star rating,W4516 Eddie Ave,12,Pubs;American (Traditional)
People’s Food Co-op,4.5 star rating,315 5th Ave S,31,Grocery;Delis
Uptowne Cafe & Bakery,4 star rating,1217 Caledonia St,46,Bakeries;Cafes;Breakfast & Brunch
Fayze’s,3.5 star rating,135 S 4th St,129,Bakeries;American (Traditional);Pubs
Taste of Thai,4.5 star rating,205 S Holmen Dr,40,Thai
Rosie’s Cafe,4.5 star rating,2225 16th St S,56,Diners;Cafes;American (Traditional)
Sushi Pirate,3.5 star rating,200 Main St,60,Japanese;Sushi Bars
Shogun Sushi And Hibachi,3.5 star rating,1227 Crossing Meadows Dr,78,Japanese;Sushi Bars
Moxie’s,3.5 star rating,1835 Rose St,6,American (New);Tiki Bars
Crooked Pint Ale House,3.5 star rating,9348 WI-16,23,Pubs;American (Traditional);Sports Bars
Pizza Ranch,5 star rating,3130 Chestnut Pl,3,Pizza;Chicken Shop;Buffets
Big Boar Barbecue & Catering,4.5 star rating,510 Commerce Dr,47,Barbeque
North Country Steak Buffet,4 star rating,2526 Rose St,29,Buffets;Salad;Tacos
The Barrel Inn Bar & Grill,4 star rating,2005 West Ave S,5,Sports Bars;American (Traditional)
Schmitty’s TimeOut Tavern,4.5 star rating,444 N Chestnut St,7,Chicken Wings;American (Traditional);Burgers
Kaddy’s Kafe,4.5 star rating,236 E Main St,25,Breakfast & Brunch;Cafes
Eagle’s Nest Sports Bar & Grill,4 star rating,1914 Campbell Rd,16,Sports Bars;American (Traditional)
Fiesta Mexicana,3.5 star rating,5200 Mormon Coulee Rd,22,Mexican
Sweet Lou Barbeque,5 star rating,N/A,1,Barbeque;Food Trucks
Houghton’s Jackson Street Pub,3.5 star rating,1002 Jackson St,32,American (Traditional);Irish Pub;Steakhouses
Famous Dave’s Bar-B-Que,4 star rating,3055 State Highway 16,34,Barbeque;American (Traditional);Comfort Food
Pizza King - La Crosse,4.5 star rating,2929 South Ave,19,Pizza;Italian;Greek
Meringue Bakery & Cafe,5 star rating,313 Main St,4,Bakeries;Custom Cakes;Cafes
Three Rivers Lodge River View Restaurant and Bar,3 star rating,111 Front St S,30,Bars;American (New);Burgers
The Breakfast Club and Pub,3.5 star rating,214 Main St,110,American (Traditional);Breakfast & Brunch;Pubs
Tequila Mexican Restaurant,3 star rating,515 West Ave N,22,Mexican
Ye Old Style Inn,4 star rating,828 5th Ave S,5,Beer Bar;Breakfast & Brunch;Wraps
Texas Roadhouse,3.5 star rating,4310 State Hwy 16,49,Barbeque;Steakhouses
Bebo’s Dogs & Beef,5 star rating,101 3rd St S,2,Hot Dogs
Dim Sum Tea Shop,3.5 star rating,221 Pearl St,42,Dim Sum;Coffee & Tea
Huhot Mongolian Grill,4 star rating,Located in Valley View Mall,32,Chinese;Asian Fusion;Mongolian
